Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jun/16;ABDI;07.200.966/0001-11;5145221
jul/16;FNDE;153173 / 15253;1508243008
jul/16;INCRA;373001 / 37201;107299542
jul/16;SENAI;33.564.543/0001-90;117872161
jul/16;SESI;33.641.358/0001-52;170194629
jul/16;SENAC;33.469.172/0001-68;201560599
jul/16;SESC;33.469.164/0001-11;364791516
jul/16;SEBRAE;00.330.854/0001-45;246071875
jul/16;EMBRATUR;35.842.428/0001-66;0
jul/16;DPC;852001 / 00001;12461579
jul/16;ANAC;122002 / 00001;17073331
jul/16;SENAR;37.138.245/0001-90;70333932
jul/16;SEST;73.471.989/0001-95;36758381
jul/16;SENAT;73.471.963/0001-47;23511519
jul/16;SESCOOP;03.087.543/0001-86;24125101
jul/16;SDR;420013 / 00001;18923752
jul/16;APEX-BR;05.507.500/0001-38;35764920
jul/16;ABDI;07.200.966/0001-11;5127220
ago/16;FNDE;153173 / 15253;1507691739
ago/16;INCRA;373001 / 37201;107173149
ago/16;SENAI;33.564.543/0001-90;120585915
ago/16;SESI;33.641.358/0001-52;170353966
ago/16;SENAC;33.469.172/0001-68;201108906
ago/16;SESC;33.469.164/0001-11;364193406
ago/16;SEBRAE;00.330.854/0001-45;245916784
ago/16;EMBRATUR;35.842.428/0001-66;0
ago/16;DPC;852001 / 00001;11942655
ago/16;ANAC;122002 / 00001;17078560
ago/16;SENAR;37.138.245/0001-90;68972852
ago/16;SEST;73.471.989/0001-95;37749731
ago/16;SENAT;73.471.963/0001-47;23883954
ago/16;SESCOOP;03.087.543/0001-86;25354097
ago/16;SDR;420013 / 00001;18900864
ago/16;APEX-BR;05.507.500/0001-38;35741610
ago/16;ABDI;07.200.966/0001-11;5123894
set/16;FNDE;153173 / 15253;1532494539
set/16;INCRA;373001 / 37201;109284187
set/16;SENAI;33.564.543/0001-90;119636151
set/16;SESI;33.641.358/0001-52;171178904
set/16;SENAC;33.469.172/0001-68;203456829
set/16;SESC;33.469.164/0001-11;370276641
set/16;SEBRAE;00.330.854/0001-45;249118519
set/16;EMBRATUR;35.842.428/0001-66;0
set/16;DPC;852001 / 00001;12385763
set/16;ANAC;122002 / 00001;17953196
set/16;SENAR;37.138.245/0001-90;62038443
set/16;SEST;73.471.989/0001-95;39205389
set/16;SENAT;73.471.963/0001-47;24699514
set/16;SESCOOP;03.087.543/0001-86;25300940
set/16;SDR;420013 / 00001;19274012
set/16;APEX-BR;05.507.500/0001-38;36207965
set/16;ABDI;07.200.966/0001-11;5190837
out/16;FNDE;153173 / 15253;1508696077
out/16;INCRA;373001 / 37201;107424270
out/16;SENAI;33.564.543/0001-90;117700984
out/16;SESI;33.641.358/0001-52;167921658
out/16;SENAC;33.469.172/0001-68;200823518
out/16;SESC;33.469.164/0001-11;362100502
out/16;SEBRAE;00.330.854/0001-45;245199472
out/16;EMBRATUR;35.842.428/0001-66;0
out/16;DPC;852001 / 00001;11980558
out/16;ANAC;122002 / 00001;17670036
out/16;SENAR;37.138.245/0001-90;62350157
out/16;SEST;73.471.989/0001-95;38498980
out/16;SENAT;73.471.963/0001-47;24257440
out/16;SESCOOP;03.087.543/0001-86;25172112
out/16;SDR;420013 / 00001;18942562
out/16;APEX-BR;05.507.500/0001-38;35633854
out/16;ABDI;07.200.966/0001-11;5108221
nov/16;FNDE;153173 / 15253;1513447335
nov/16;INCRA;373001 / 37201;108428690
nov/16;SENAI;33.564.543/0001-90;115509710
nov/16;SESI;33.641.358/0001-52;164748587
nov/16;SENAC;33.469.172/0001-68;204228711
nov/16;SESC;33.469.164/0001-11;368469675
nov/16;SEBRAE;00.330.854/0001-45;246228294
nov/16;EMBRATUR;35.842.428/0001-66;0
nov/16;DPC;852001 / 00001;12927844
nov/16;ANAC;122002 / 00001;18599839
nov/16;SENAR;37.138.245/0001-90;60921075
nov/16;SEST;73.471.989/0001-95;38350276
nov/16;SENAT;73.471.963/0001-47;24704920
nov/16;SESCOOP;03.087.543/0001-86;25281760
nov/16;SDR;420013 / 00001;19122502
nov/16;APEX-BR;05.507.500/0001-38;35888775
nov/16;ABDI;07.200.966/0001-11;5859461
dez/16;FNDE;153173 / 15253;1546232107
dez/16;INCRA;373001 / 37201;110405058
dez/16;SENAI;33.564.543/0001-90;116685279
dez/16;SESI;33.641.358/0001-52;166083645
dez/16;SENAC;33.469.172/0001-68;205439362
dez/16;SESC;33.469.164/0001-11;370261203
dez/16;SEBRAE;00.330.854/0001-45;247453900
dez/16;EMBRATUR;35.842.428/0001-66;0
dez/16;DPC;852001 / 00001;11659882
dez/16;ANAC;122002 / 00001;18790089
dez/16;SENAR;37.138.245/0001-90;57157293
dez/16;SEST;73.471.989/0001-95;38242492
dez/16;SENAT;73.471.963/0001-47;24056099
dez/16;SESCOOP;03.087.543/0001-86;26006277
dez/16;SDR;420013 / 00001;19478451
dez/16;APEX-BR;05.507.500/0001-38;36076902
dez/16;ABDI;07.200.966/0001-11;5890174
jan/17;FNDE;153173 / 15253;2719560019
jan/17;INCRA;373001 / 37201;192614501
jan/17;SENAI;33.564.543/0001-90;195510573
jan/17;SESI;33.641.358/0001-52;278280064
jan/17;SENAC;33.469.172/0001-68;362480165
jan/17;SESC;33.469.164/0001-11;659533185
jan/17;SEBRAE;00.330.854/0001-45;436906000
jan/17;EMBRATUR;35.842.428/0001-66;0
jan/17;DPC;852001 / 00001;20281534
jan/17;ANAC;122002 / 00001;32072735
jan/17;SENAR;37.138.245/0001-90;54514766
jan/17;SEST;73.471.989/0001-95;61283907
jan/17;SENAT;73.471.963/0001-47;39525947
jan/17;SESCOOP;03.087.543/0001-86;48653186
jan/17;SDR;420013 / 00001;33978648
jan/17;APEX-BR;05.507.500/0001-38;63692770
jan/17;ABDI;07.200.966/0001-11;10398892
fev/17;FNDE;153173 / 15253;1565756519
fev/17;INCRA;373001 / 37201;111163163
fev/17;SENAI;33.564.543/0001-90;118256846
fev/17;SESI;33.641.358/0001-52;167938770
fev/17;SENAC;33.469.172/0001-68;213183588
fev/17;SESC;33.469.164/0001-11;386724661
fev/17;SEBRAE;00.330.854/0001-45;255305221
fev/17;EMBRATUR;35.842.428/0001-66;0
fev/17;DPC;852001 / 00001;12550428
fev/17;ANAC;122002 / 00001;17528165
fev/17;SENAR;37.138.245/0001-90;49945186
fev/17;SEST;73.471.989/0001-95;37692320
fev/17;SENAT;73.471.963/0001-47;23651156
fev/17;SESCOOP;03.087.543/0001-86;27300094
fev/17;SDR;420013 / 00001;19603138
fev/17;APEX-BR;05.507.500/0001-38;36988184
fev/17;ABDI;07.200.966/0001-11;6038874
mar/17;FNDE;153173 / 15253;1548248317
mar/17;INCRA;373001 / 37201;109309496
